Comment,Designator,Footprint,LCSC
Conn_01x02,J3,PinHeader_1x02_P2.54mm_Vertical,C124375
SN74LV4051ADR,U1,SOIC-16_4.55x10.3mm_P1.27mm,C128414
Conn_01x03,"J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J4,J5,J6,J7,J8,J9",PinSocket_1x03_P2.54mm_Vertical,C146243
Conn_01x04,"J2,J20",PinHeader_1x04_P2.54mm_Vertical,C5116483
Conn_02x02_Odd_Even,J1,PinHeader_2x02_P2.54mm_Vertical,C66690
NP,M21,C_0805_2012Metric,
NP,M12,C_0805_2012Metric,
NP,M23,C_0805_2012Metric,
NP,M10,C_0805_2012Metric,
NP,M20,C_0805_2012Metric,
NP,M9,C_0805_2012Metric,
NP,M13,C_0805_2012Metric,
NP,M19,C_0805_2012Metric,
NP,M14,C_0805_2012Metric,
NP,M2,C_0805_2012Metric,
NP,M4,C_0805_2012Metric,
NP,M22,C_0805_2012Metric,
NP,M16,C_0805_2012Metric,
NP,M18,C_0805_2012Metric,
NP,M6,C_0805_2012Metric,
NP,M11,C_0805_2012Metric,
NP,M7,C_0805_2012Metric,
NP,M15,C_0805_2012Metric,
NP,M24,C_0805_2012Metric,
NP,M17,C_0805_2012Metric,
NP,M5,C_0805_2012Metric,
NP,M8,C_0805_2012Metric,
NP,M3,C_0805_2012Metric,
NP,M1,C_0805_2012Metric,
