Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,62.65,-43.27,0.0,top
J10,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,44.54,-86.0,90.0,top
J11,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,44.54,-94.0,90.0,top
J12,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,75.49,-47.0,90.0,top
J13,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,75.49,-55.0,90.0,top
J14,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,75.49,-60.0,90.0,top
J15,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,75.49,-68.0,90.0,top
J16,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,75.49,-73.0,90.0,top
J17,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,75.49,-81.0,90.0,top
J18,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,75.49,-86.0,90.0,top
J19,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,75.49,-94.0,90.0,top
J2,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,50.19,-42.0,90.0,top
J20,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,59.94,-98.0,90.0,top
J3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,72.19,-42.0,90.0,top
J4,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,44.54,-47.0,90.0,top
J5,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,44.54,-55.0,90.0,top
J6,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,44.54,-60.0,90.0,top
J7,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,44.54,-68.0,90.0,top
J8,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,44.54,-73.0,90.0,top
J9,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,44.54,-81.0,90.0,top
M1,NP,C_0805_2012Metric,41.53,-51.0,270.0,bottom
M10,NP,C_0805_2012Metric,44.54,-64.0,270.0,bottom
M11,NP,C_0805_2012Metric,44.54,-77.0,270.0,bottom
M12,NP,C_0805_2012Metric,44.54,-90.0,270.0,bottom
M13,NP,C_0805_2012Metric,75.49,-51.0,270.0,bottom
M14,NP,C_0805_2012Metric,75.49,-64.0,270.0,bottom
M15,NP,C_0805_2012Metric,75.49,-77.0,270.0,bottom
M16,NP,C_0805_2012Metric,75.5,-90.0,270.0,bottom
M17,NP,C_0805_2012Metric,47.55,-51.0,270.0,bottom
M18,NP,C_0805_2012Metric,47.55,-64.0,270.0,bottom
M19,NP,C_0805_2012Metric,47.55,-77.0,270.0,bottom
M2,NP,C_0805_2012Metric,41.53,-64.0,270.0,bottom
M20,NP,C_0805_2012Metric,47.55,-90.0,270.0,bottom
M21,NP,C_0805_2012Metric,78.5,-51.0,270.0,bottom
M22,NP,C_0805_2012Metric,78.5,-64.0,270.0,bottom
M23,NP,C_0805_2012Metric,78.5,-77.0,270.0,bottom
M24,NP,C_0805_2012Metric,78.51,-90.0,270.0,bottom
M3,NP,C_0805_2012Metric,41.53,-77.0,270.0,bottom
M4,NP,C_0805_2012Metric,41.53,-90.0,270.0,bottom
M5,NP,C_0805_2012Metric,72.48,-51.0,270.0,bottom
M6,NP,C_0805_2012Metric,72.48,-64.0,270.0,bottom
M7,NP,C_0805_2012Metric,72.48,-77.0,270.0,bottom
M8,NP,C_0805_2012Metric,72.49,-90.0,270.0,bottom
M9,NP,C_0805_2012Metric,44.54,-51.0,270.0,bottom
U1,SN74LV4051ADR,SOIC-16_4.55x10.3mm_P1.27mm,60.0,-70.0,180.0,top
